utterance,intent
"je n'ai pas pu prendre poser mes vacances, est ce que je vais les perdre",covid---comment-les-absences-sont-elles-gerees--
"Je suis en confinement. Je ne pourrais sûrement pas poser tous mes congés . Est-il possible d’ouvrir dès maintenant un CET dans cette perspective ?",covid---comment-les-absences-sont-elles-gerees--
"je peux ouvrir un CET ?",covid---comment-les-absences-sont-elles-gerees--
"Le délai pour poser le reliquat de congés 2019 fixé à la fin du mois d’avril 2020 va t il être reculé ?",covid---comment-les-absences-sont-elles-gerees--
"j'ai une question sur les congés avec le covid",covid---comment-les-absences-sont-elles-gerees--
"Est-ce qu’il sera possible de dépasser le nombre de jours alimentant le compte épargne temps ?",covid---comment-les-absences-sont-elles-gerees--
"est ce que les congés peuvent être reportés ?",covid---comment-les-absences-sont-elles-gerees--
"est ce que je vais perdre les congés que je n'ai pas pris ?",covid---comment-les-absences-sont-elles-gerees--
"comment les congés sont-ils gérés ?",covid---comment-les-absences-sont-elles-gerees--
"comment ça se passe les congés ?",covid---comment-les-absences-sont-elles-gerees--
"autorisation spéciale d’absence",covid---comment-les-absences-sont-elles-gerees--
"à qui dois je m'adresse pour une question sur le compte épargne temps ?",covid---comment-les-absences-sont-elles-gerees--
"à cause du confinement je n'ai pas pu poser mes congés",covid---comment-les-absences-sont-elles-gerees--
"donne moi des infos sur les ASA",covid---comment-les-absences-sont-elles-gerees--
"Qu’en sera t il des congés non pris au 31 décembre 2020 ?",covid---comment-les-absences-sont-elles-gerees--
"comment se passent les repas au restaurant administratif ?",covid---comment-se-passent-les-repas-au-restaurant-administratif--
"ça se passe comment la prise de repas au restaurant administratif",covid---comment-se-passent-les-repas-au-restaurant-administratif--
"repas au resto admin avec le covid",covid---comment-se-passent-les-repas-au-restaurant-administratif--
"Je ne sais pas comment choisir ma place pour déjeuner avec mes collègues au restaurant administratif",covid---comment-se-passent-les-repas-au-restaurant-administratif--
"je ne sais pas si je peux m'asseoir où je veux au restaurant",covid---comment-se-passent-les-repas-au-restaurant-administratif--
"donne moi des infos sur le click&collect",covid---comment-se-passent-les-repas-au-restaurant-administratif--
"click and collect avec le covid",covid---comment-se-passent-les-repas-au-restaurant-administratif--
"je peux manger avec des collègues malgré le covid ?",covid---comment-se-passent-les-repas-au-restaurant-administratif--
"je peux m'asseoir à côté de mes collègues au resto ?",covid---comment-se-passent-les-repas-au-restaurant-administratif--
"repas au restaurant administratif",covid---comment-se-passent-les-repas-au-restaurant-administratif--
"puis je manger au restaurant administratif ?",covid---comment-se-passent-les-repas-au-restaurant-administratif--
"on peut s'asseoir où on veut au restaurant administratif ?",covid---comment-se-passent-les-repas-au-restaurant-administratif--
"Je travaille sur un site extérieur à l’Hôtel du Département, puis-je déjeuner au restaurant administratif ?",covid---comment-se-passent-les-repas-au-restaurant-administratif--
"j'ai une question sur le restaurant administratif",covid---comment-se-passent-les-repas-au-restaurant-administratif--
"est ce que le resto est ouvert ?",covid---comment-se-passent-les-repas-au-restaurant-administratif--
"C'est quoi ton champ d'action ?",covid---decouvrir-le-champ-d-action-du-bot
"Je n'ai pas d'info sur ton champ d'actions",covid---decouvrir-le-champ-d-action-du-bot
"Quelles questions sais tu traiter ?",covid---decouvrir-le-champ-d-action-du-bot
"Le chatbot répond à quoi ?",covid---decouvrir-le-champ-d-action-du-bot
"Comment peux tu m'aider ?",covid---decouvrir-le-champ-d-action-du-bot
"Tu sers à quoi ?",covid---decouvrir-le-champ-d-action-du-bot
"à quoi sais tu répondre ?",covid---decouvrir-le-champ-d-action-du-bot
"Dis moi à quoi tu sais répondre",covid---decouvrir-le-champ-d-action-du-bot
"Il me faut ton champ d'action",covid---decouvrir-le-champ-d-action-du-bot
"Donne moi des infos sur ton champ d'action",covid---decouvrir-le-champ-d-action-du-bot
"Quelles sont tes domaines de compétences ?",covid---decouvrir-le-champ-d-action-du-bot
"à quoi sert le chatbot ?",covid---decouvrir-le-champ-d-action-du-bot
"Tu sais répondre à quoi ?",covid---decouvrir-le-champ-d-action-du-bot
"J'aimerai commnaître les sujets que tu couvres",covid---decouvrir-le-champ-d-action-du-bot
"Je ne sais pas ce que je peux demander au chatbot",covid---decouvrir-le-champ-d-action-du-bot
"Désinfection des locaux",covid---direction---que-faire-en-situation-de-cas-contact-ou-avere-dans-l-equipe--
"à qui doit on faire la demande de désinfection du bureau ?",covid---direction---que-faire-en-situation-de-cas-contact-ou-avere-dans-l-equipe--
"il faut désinfecter le bureau",covid---direction---que-faire-en-situation-de-cas-contact-ou-avere-dans-l-equipe--
"il y a quelqu'un qui est positif dans l'équipe, c'est quoi le mode opératoire ?",covid---direction---que-faire-en-situation-de-cas-contact-ou-avere-dans-l-equipe--
"il y a un cas contact dans le service",covid---direction---que-faire-en-situation-de-cas-contact-ou-avere-dans-l-equipe--
"il y a une personne contaminée dans l'équipe",covid---direction---que-faire-en-situation-de-cas-contact-ou-avere-dans-l-equipe--
"j'ai besoin de faire une demande de désinfection des locaux",covid---direction---que-faire-en-situation-de-cas-contact-ou-avere-dans-l-equipe--
"Que faire en situation de cas contact ou avéré dans mon équipe ?",covid---direction---que-faire-en-situation-de-cas-contact-ou-avere-dans-l-equipe--
"quelle est la marche à suivre s'il y a quelqu'un de l'équipe qui est contaminé ?",covid---direction---que-faire-en-situation-de-cas-contact-ou-avere-dans-l-equipe--
"quelqu'un à des symptômes dans mon équipe que faire ?",covid---direction---que-faire-en-situation-de-cas-contact-ou-avere-dans-l-equipe--
"un agent de mon service a le covid",covid---direction---que-faire-en-situation-de-cas-contact-ou-avere-dans-l-equipe--
"une personne de mon équipe a tous les symptômes du covid",covid---direction---que-faire-en-situation-de-cas-contact-ou-avere-dans-l-equipe--
"demande de désinfection de bureau",covid---direction---que-faire-en-situation-de-cas-contact-ou-avere-dans-l-equipe--
"je ne sais quoi faire en cas de personne positive dans mon service",covid---direction---que-faire-en-situation-de-cas-contact-ou-avere-dans-l-equipe--
"je ne sais pas qui informer en cas de cas contact dans l'équipe",covid---direction---que-faire-en-situation-de-cas-contact-ou-avere-dans-l-equipe--
"Parle moi des consignes sanitaires ?",covid---explique-moi-les-gestes-barrieres
"Je ne connais plus la distanciation sociale",covid---explique-moi-les-gestes-barrieres
"Le masque est-il obligatoire au bureau ?",covid---explique-moi-les-gestes-barrieres
"je ne me rappelle plus des gestes barrières, c'est quoi déjà ?",covid---explique-moi-les-gestes-barrieres
"à quelle fréquence dois je me laver les mains ?",covid---explique-moi-les-gestes-barrieres
"c'est quoi déjà la règle de distanciation sociale ?",covid---explique-moi-les-gestes-barrieres
"Quelles sont les règles de distanciation sociale ?",covid---explique-moi-les-gestes-barrieres
"dois je porter le masque ?",covid---explique-moi-les-gestes-barrieres
"explique moi les gestes barrières",covid---explique-moi-les-gestes-barrieres
"il faut que j'évite de me toucher le visage, c'est bien ça ?",covid---explique-moi-les-gestes-barrieres
"j'ai besoin d'un petit rappel sur les gestes barrières",covid---explique-moi-les-gestes-barrieres
"je dois porter le masque si je suis seul dans un bureau ?",covid---explique-moi-les-gestes-barrieres
"C'est quoi les consignes sanitaires ?",covid---explique-moi-les-gestes-barrieres
"Redonne moi les règles barrière",covid---explique-moi-les-gestes-barrieres
"Est ce que les gestes barrières s'appliquent au bureau ?",covid---explique-moi-les-gestes-barrieres
"comment je peux gérer mes enfants en confinement ?",covid---j-ai-des-enfants---quelles-sont-les-dispositions-pour-que-je-puisse-gerer-leur-garde--
"je peux m'absenter pour garder mes enfants ?",covid---j-ai-des-enfants---quelles-sont-les-dispositions-pour-que-je-puisse-gerer-leur-garde--
"j'ai des enfants ; quelles sont les dispositions pour que je puisse gérer leur garde ?",covid---j-ai-des-enfants---quelles-sont-les-dispositions-pour-que-je-puisse-gerer-leur-garde--
"Peut-on garder des enfants sur le temps de travail ? Je n'ai pas d'infos là dessus",covid---j-ai-des-enfants---quelles-sont-les-dispositions-pour-que-je-puisse-gerer-leur-garde--
"Donne moi des infos sur la garde d'enfants pendant le covid",covid---j-ai-des-enfants---quelles-sont-les-dispositions-pour-que-je-puisse-gerer-leur-garde--
"Il faut que je m'organise pour m'occuper de mes enfants",covid---j-ai-des-enfants---quelles-sont-les-dispositions-pour-que-je-puisse-gerer-leur-garde--
"je ne sais pas comment garder mes enfants à cause du covid",covid---j-ai-des-enfants---quelles-sont-les-dispositions-pour-que-je-puisse-gerer-leur-garde--
"est ce que des dispositifs spéciaux sont prévus pour s'occuper des enfants ?",covid---j-ai-des-enfants---quelles-sont-les-dispositions-pour-que-je-puisse-gerer-leur-garde--
"Comment garder ses enfants pendant la pandémie ?",covid---j-ai-des-enfants---quelles-sont-les-dispositions-pour-que-je-puisse-gerer-leur-garde--
"Personne ne peut garder mon enfant, la crèche est fermée",covid---j-ai-des-enfants---quelles-sont-les-dispositions-pour-que-je-puisse-gerer-leur-garde--
"l'établissement de ma fille est fermé comment je peux faire pour m'absenter ?",covid---j-ai-des-enfants---quelles-sont-les-dispositions-pour-que-je-puisse-gerer-leur-garde--
"Il me faut passer à mi temps pour garder mes enfants ?",covid---j-ai-des-enfants---quelles-sont-les-dispositions-pour-que-je-puisse-gerer-leur-garde--
"mon fils est malade, je peux poser un congés pour le garder ?",covid---j-ai-des-enfants---quelles-sont-les-dispositions-pour-que-je-puisse-gerer-leur-garde--
"ma fille a le covid, je dois la garder",covid---j-ai-des-enfants---quelles-sont-les-dispositions-pour-que-je-puisse-gerer-leur-garde--
"la classe de mon fils est fermée, je fais comment pour le garder ?",covid---j-ai-des-enfants---quelles-sont-les-dispositions-pour-que-je-puisse-gerer-leur-garde--
